,utterance,classes,prompt,bigscience/T0pp
431,can i make online purchases with my card?,"['make purchases', 'online purchases', 'make card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",make purchases make card online purchases. <unk>
432,does every place of business accept this card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card. every place of business accepts this card
433,what places will accept my card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card.jpg. (filename : card_acceptable.png
434,can i use my card anywere?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card anywhere.html [http://www.dickdoyle.com/how/spellingcards.htm]
435,will any business take this card?,"['take card', 'take card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",take card for what it is worth in cash
436,will filling stations accept my card?,"['accept card', 'filling stations', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",filling stations accept card..? (question)
437,do i have to verify my identity?,"['verify identity', 'verify identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity by phone? (question)
438,why do you need to know so much about me,"['know ', 'know ']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",know. idioms by the free dictionary
439,why did i need to verfiy my identity?,"['verfiy identity', 'verfiy identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",confirm identity for the banker i was speaking to
440,i cannot verify my identity,"['verify identity', 'verify identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verifiy identity online online identity verification
441,i do not have what is required to prove my identity,"['prove identity', 'prove identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",prove identity.jpg prove your identity with a fassade or tarot card
442,why doesn't the app believe i am who i say i am?,['say app'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",refuses to let me in say app.
443,i am having trouble verifying my identity,"['verifying identity', 'verifying identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verifying identity. png i am having trouble verifiying my identity
444,what do i do if my verification failed,['failed verification'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",failed verification.pptx.gif
445,it is impossible to verify my identity,"['verify identity', 'verify identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity.gov.uk. verify my identity
446,the app doesn't know it's me,['know app'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",know app doesn't know it's me
447,i'm having trouble verifying my id,"['verifying d', 'verifying d']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verifying dss id
448,app does not recognize me,"['recognize ', 'recognize app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",recognize app.? - <unk> : t-mobile
449,help my verify my id,"['verify d', 'verify d']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify id in the shortest time
450,the app failed to verify my identity,"['verify identity', 'verify identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity via another source of identification..
451,i can't verify my id,"['verify d', 'verify d']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",check id to verify my identity.
452,i can't prove my identity,"['prove identity', 'prove identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","prove identity.jpg|title=""prove identity"">"
453,i am not being recognized by the app,['recognized app'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",recognized app.php?fetchUrl=recognize
454,why isn't my id being verified?,['verified d'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verified d. id being verified
455,the app will not let me into my account,"['let ', 'let account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",let account go to a different app than the other
456,i am having trouble proving my identity,"['proving identity', 'proving identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",proving identity of person in society as a citizen
457,i cannot prove my own identity,"['prove identity', 'own identity', 'prove identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",proof of identity of person i am addressing
